,subject,task,area,place,city,state,wage,company,url
0,Vaga de Vendedor em Goiânia/GO,Vendedor,Comércio,Goiânia / GO,Goiânia,GO,a combinar,Opção Uniformes Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-interno/3335622
1,Vaga de Representante Comercial em Diadema/SP,Representante Comercial,Comércio,Diadema / SP,Diadema,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-goiania-go/vendedor/3335620
2,Vaga de Auxiliar de Vendas em Curitiba/PR,Auxiliar de Vendas,Outros,Curitiba / PR,Curitiba,PR,a combinar,Personal Store,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-diadema-sp/representante-comercial/3335606
3,Vaga de Vendedor em Toritama/PE,Vendedor,Comércio,Toritama / PE,Toritama,PE,a combinar,Marajó Tecidos Jeans Brim,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/auxiliar-de-vendas/3335605
4,Vaga de Atendente de Balcão em Belo Horizonte/MG,Atendente de Balcão,Outros,Belo Horizonte / MG,Belo Horizonte,MG,a combinar,Street Bike Comercio,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-toritama-pe/vendedor/3335593
5,Vaga de Vendedor Técnico em Curitiba/PR - home office,Vendedor Técnico,Outros,"Agua Verde,  Curitiba / PR","Agua Verde,  Curitiba",PR,"R$ 1.800,00 a R$ 4.000,00",Leonidas Pires da Silva - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-belo-horizonte-mg/atendente-de-balcao/3335592
6,Vaga de Supervisor de Loja em Rio de Janeiro/RJ,Supervisor de Loja,Outros,Rio de Janeiro / RJ,Rio de Janeiro,RJ,a combinar,Allis Solucoes em Trade e Pessoas Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-tecnico/3335590
7,Vaga de Vendedor Interno em Curitiba/PR,Vendedor Interno,Comércio,Curitiba / PR,Curitiba,PR,a combinar,Grupo Moro Rh,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-rio-de-janeiro-rj/supervisor-de-loja/3335586
8,Vaga de Consultor Comercial em Curitiba/PR,Consultor Comercial,Outros,"Fanny,  Curitiba / PR","Fanny,  Curitiba",PR,"R$ 3.200,00",ZOCCHE CORP - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-interno/3335577
9,5 Vagas de Vendedor Externo em Campinas/SP,Vendedor Externo,Comércio,Campinas / SP,Campinas,SP,"R$ 1.400,00 a R$ 3.000,00",Performa Brasil - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/consultor-comercial/3323042
10,Vaga de Promotor de Vendas em São Paulo/SP,Promotor de Vendas,Outros,São Paulo / SP,São Paulo,SP,a combinar,Gigroup Brasil Recursos Humanos Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-campinas-sp/vendedor-externo/3335566
11,Vaga de Representante Comercial em Cotia/SP,Representante Comercial,Comércio,Cotia / SP,Cotia,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-sao-paulo-sp/promotor-de-vendas/3335557
12,Vaga de Representante Comercial em Catanduva/SP,Representante Comercial,Comércio,Catanduva / SP,Catanduva,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-cotia-sp/representante-comercial/3335532
13,Vaga de Consultor de Vendas em Recife/PE,Consultor de Vendas,Outros,Recife / PE,Recife,PE,a combinar,Rhfnordeste,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-catanduva-sp/representante-comercial/3335530
14,Vaga de Consultor de Vendas em Jaboatão dos Guararapes/PE,Consultor de Vendas,Outros,Jaboatão dos Guararapes / PE,Jaboatão dos Guararapes,PE,a combinar,Rhfnordeste,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-recife-pe/consultor-de-vendas/3335529
15,Vaga de Representante Comercial em Castilho/SP,Representante Comercial,Comércio,Castilho / SP,Castilho,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-jaboatao-dos-guararapes-pe/consultor-de-vendas/3335527
16,Vaga de Representante Comercial em Carapicuíba/SP,Representante Comercial,Comércio,Carapicuíba / SP,Carapicuíba,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-castilho-sp/representante-comercial/3335526
17,Vaga de Consultor de Vendas em Jaboatão dos Guararapes/PE,Consultor de Vendas,Outros,Jaboatão dos Guararapes / PE,Jaboatão dos Guararapes,PE,a combinar,Rhfnordeste,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-carapicuiba-sp/representante-comercial/3335524
18,Vaga de Consultor de Vendas em Londrina/PR,Consultor de Vendas,Outros,Londrina / PR,Londrina,PR,a combinar,Alpha Contabilidade e Consultoria Tributária,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-jaboatao-dos-guararapes-pe/consultor-de-vendas/3335523
19,Vaga de Analista Comercial em Abadia de Goiás/GO,Analista Comercial,Outros,Abadia de Goiás / GO,Abadia de Goiás,GO,a combinar,Col Assessoria Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-londrina-pr/consultor-de-vendas/3335522
20,Vaga de Consultor de Vendas em Recife/PE,Consultor de Vendas,Outros,Recife / PE,Recife,PE,a combinar,Rhfnordeste,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-abadia-de-goias-go/analista-comercial/3335521
21,Vaga de Representante Comercial em Caraguatatuba/SP,Representante Comercial,Comércio,Caraguatatuba / SP,Caraguatatuba,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-recife-pe/consultor-de-vendas/3335519
22,Vaga de Vendedor em Porto Alegre/RS,Vendedor,Comércio,Porto Alegre / RS,Porto Alegre,RS,a combinar,Mundial Foods Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-caraguatatuba-sp/representante-comercial/3335517
23,Vaga de Representante Comercial em Capivari/SP,Representante Comercial,Comércio,Capivari / SP,Capivari,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-porto-alegre-rs/vendedor/3335516
24,Vaga de Vendedor em Novo Hamburgo/RS,Vendedor,Comércio,Novo Hamburgo / RS,Novo Hamburgo,RS,a combinar,Mundial Foods Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-capivari-sp/representante-comercial/3335515
25,Vaga de Representante Comercial em Campinas/SP,Representante Comercial,Comércio,Campinas / SP,Campinas,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-novo-hamburgo-rs/vendedor/3335512
26,"accessible
                                        



                                    Vaga de SDR - Representante de Desenvolvimento de Vendas em Curitiba/PR",SDR - Representante de Desenvolvimento de Vendas,Outros,"Novo Mundo,  Curitiba / PR","Novo Mundo,  Curitiba",PR,"R$ 2.000,00 a R$ 2.600,00",Mixtel Distribuidora - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-campinas-sp/representante-comercial/3335511
27,5 Vagas de Vendedor Externo em Curitiba/PR,Vendedor Externo,Comércio,Curitiba / PR,Curitiba,PR,"R$ 1.300,00 a R$ 3.800,00",TOOLS4CHANGE MARKETING DIRETO - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/sdr---representante-de-desenvolvimento-de-vendas/3242773
28,5 Vagas de Vendedor Externo em Curitiba/PR,Vendedor Externo,Comércio,Curitiba / PR,Curitiba,PR,"R$ 1.300,00 a R$ 3.800,00",TOOLS4CHANGE MARKETING DIRETO - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-externo/3335496
29,"accessible
                                        



                                    18 Vagas de Auxiliar de Supermercado em Taguatinga/DF",Auxiliar de Supermercado,Outros,"Areal Águas Claras ,  Taguatinga / DF","Areal Águas Claras ,  Taguatinga",DF,"R$ 1.200,00 a R$ 1.600,00",Confidencial O que é isso?,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-externo/3335496
30,"accessible
                                        



                                    18 Vagas de Auxiliar de Supermercado em Taguatinga/DF",Auxiliar de Supermercado,Outros,"Areal Águas Claras ,  Taguatinga / DF","Areal Águas Claras ,  Taguatinga",DF,"R$ 1.200,00 a R$ 1.600,00",Confidencial O que é isso?,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-taguatinga-df/auxiliar-de-supermercado/3335495
31,Vaga de Agente Comercial em Jaboticabal/SP,Agente Comercial,Outros,Jaboticabal / SP,Jaboticabal,SP,a combinar,Locus Recursos Humanos,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-taguatinga-df/auxiliar-de-supermercado/3335495
32,Vaga de Auxiliar de Escritório em Belo Horizonte/MG,Auxiliar de Escritório,Outros,Belo Horizonte / MG,Belo Horizonte,MG,a combinar,Lf Engenharia Rodoviária Eireli,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-belo-horizonte-mg/auxiliar-de-escritorio/3335618
33,Vaga de Auxiliar Administrativo em Manaus/AM,Auxiliar Administrativo,Administrativo,Manaus / AM,Manaus,AM,a combinar,Lachi Engenharia,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-manaus-am/auxiliar-administrativo/3335616
34,Vaga de Auxiliar de Compras em Curitiba/PR,Auxiliar de Compras,Outros,"bacacheri,  Curitiba / PR","bacacheri,  Curitiba",PR,"R$ 1.626,00",CLINICA BIAVATTI - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-de-compras/3335612
35,Vaga de Analista Administrativo em Guarapuava/PR,Analista Administrativo,Outros,Guarapuava / PR,Guarapuava,PR,a combinar,Employer Guarapuava - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-guarapuava-pr/analista-administrativo/3335610
36,Vaga de Recepcionista em Goiânia/GO,Recepcionista,Administrativo,Goiânia / GO,Goiânia,GO,a combinar,Recrutar Consultoria,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-goiania-go/recepcionista/3335579
37,Vaga de Auxiliar Administrativo em Bento Gonçalves/RS,Auxiliar Administrativo,Administrativo,Bento Gonçalves / RS,Bento Gonçalves,RS,a combinar,Vpx Logística e Trasnportes Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-bento-goncalves-rs/auxiliar-administrativo/3335564
38,Vaga de Estagiário em Açu/RN,Estagiário,Administrativo,Açu / RN,Açu,RN,"R$ 1.045,00",Conte Rh,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-acu-rn/estagiario/3335541
39,Vaga de Estagiário em Atibaia/SP,Estagiário,Administrativo,Atibaia / SP,Atibaia,SP,"R$ 1.045,00",Conte Rh,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-atibaia-sp/estagiario/3335539
40,Vaga de Estagiário em Mogi Guaçu/SP,Estagiário,Administrativo,Mogi Guaçu / SP,Mogi Guaçu,SP,"R$ 1.045,00",Conte Rh,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-mogi-guacu-sp/estagiario/3335538
41,Vaga de Analista Administrativo Financeiro em Gravataí/RS,Analista Administrativo Financeiro,Outros,Gravataí / RS,Gravataí,RS,"R$ 1.045,00",PRIMER GESTÃO DE RECURSOS HUMANOS - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-gravatai-rs/analista-administrativo-financeiro/3335500
42,Vaga de Estagiário em São Bernardo do Campo/SP,Estagiário,Administrativo,São Bernardo do Campo / SP,São Bernardo do Campo,SP,"R$ 1.500,00",Castelli Construção Civil e Com de Mat Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-sao-bernardo-do-campo-sp/estagiario/3335497
43,Vaga de Auxiliar Administrativo Financeiro em Curitiba/PR,Auxiliar Administrativo Financeiro,Outros,"Mossunguê,  Curitiba / PR","Mossunguê,  Curitiba",PR,"R$ 2.000,00",Confidencial O que é isso?,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-administrativo-financeiro/2006538
44,Vaga de Auxiliar Administrativo em Curitiba/PR,Auxiliar Administrativo,Administrativo,"capão da imbuia,  Curitiba / PR","capão da imbuia,  Curitiba",PR,"R$ 1.600,00",Sandra - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-administrativo/3335466
45,Vaga de Auxiliar Administrativo em Toledo/PR - home office,Auxiliar Administrativo,Administrativo,"Tocantis,  Toledo / PR","Tocantis,  Toledo",PR,"R$ 1.400,00 a R$ 1.700,00",HC GEO INFRA - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-toledo-pr/auxiliar-administrativo/3328000
46,Vaga de Estagiário em Rio de Janeiro/RJ,Estagiário,Administrativo,Rio de Janeiro / RJ,Rio de Janeiro,RJ,"R$ 1.300,00",Unic RH - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-rio-de-janeiro-rj/estagiario/3335447
47,Vaga de Assistente Administrativo em Curitiba/PR,Assistente Administrativo,Administrativo,"Hauer,  Curitiba / PR","Hauer,  Curitiba",PR,a combinar,SIPAL - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/assistente-administrativo/3335445
48,Vaga de Auxiliar Administrativo em Curitiba/PR,Auxiliar Administrativo,Administrativo,"Fazendinha,  Curitiba / PR","Fazendinha,  Curitiba",PR,"R$ 1.600,00 a R$ 1.800,00",RH Mais Assessoria - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-administrativo/3335439
49,Vaga de Auxiliar Administrativo em Curitiba/PR,Auxiliar Administrativo,Administrativo,"Fazendinha,  Curitiba / PR","Fazendinha,  Curitiba",PR,"R$ 1.600,00 a R$ 1.800,00",RH Mais Assessoria - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-administrativo/3335439
50,Vaga de Auxiliar Administrativo em Palhoça/SC,Auxiliar Administrativo,Administrativo,Palhoça / SC,Palhoça,SC,a combinar,Loja do Guarda Po Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-palhoca-sc/auxiliar-administrativo/3335424
51,Vaga de Estagiário em Aparecida de Goiânia/GO,Estagiário,Administrativo,Aparecida de Goiânia / GO,Aparecida de Goiânia,GO,a combinar,Loc,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-aparecida-de-goiania-go/estagiario/3335410
52,Vaga de Auxiliar de Escritório em Curitiba/PR,Auxiliar de Escritório,Outros,Curitiba / PR,Curitiba,PR,"R$ 1.100,00 a R$ 1.212,00",RH Mais Assessoria - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-de-escritorio/3335403
53,Vaga de Auxiliar de Escritório em Curitiba/PR,Auxiliar de Escritório,Outros,Curitiba / PR,Curitiba,PR,"R$ 1.100,00 a R$ 1.212,00",RH Mais Assessoria - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/auxiliar-de-escritorio/3335403
54,Vaga de Recepcionista em Sorriso/MT,Recepcionista,Administrativo,Sorriso / MT,Sorriso,MT,"R$ 1.150,00 a R$ 1.250,00",EMPLOYER SÃO PAULO - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-sorriso-mt/recepcionista/3335395
55,Vaga de Assistente Administrativo em Goiânia/GO,Assistente Administrativo,Administrativo,Goiânia / GO,Goiânia,GO,a combinar,Keyplan,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-goiania-go/assistente-administrativo/3335385
56,Vaga de Auxiliar Administrativo em Porto Alegre/RS,Auxiliar Administrativo,Administrativo,Porto Alegre / RS,Porto Alegre,RS,a combinar,Active Med,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-porto-alegre-rs/auxiliar-administrativo/3335380
57,Vaga de Comprador em Cachoeirinha/RS,Comprador,Outros,Cachoeirinha / RS,Cachoeirinha,RS,a combinar,Diamante Rh,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-cachoeirinha-rs/comprador/3335376
58,Vaga de Estagiário em Rio de Janeiro/RJ,Estagiário,Administrativo,Rio de Janeiro / RJ,Rio de Janeiro,RJ,"R$ 1.300,00",Conexsus,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-rio-de-janeiro-rj/estagiario/3335374
59,Vaga de Estagiário em Goiânia/GO,Estagiário,Administrativo,Goiânia / GO,Goiânia,GO,a combinar,Keyplan,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-goiania-go/estagiario/3335373
60,Vaga de Motoboy em São José do Rio Preto/SP,Motoboy,Outros,São José do Rio Preto / SP,São José do Rio Preto,SP,a combinar,Go Prime,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-sao-jose-do-rio-preto-sp/motoboy/3335363
61,Vaga de Secretária em São Paulo/SP,Secretária,Administrativo,São Paulo / SP,São Paulo,SP,a combinar,Confidencial O que é isso?,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-sao-paulo-sp/secretaria/3335357
62,Vaga de Assistente Administrativo em Curitiba/PR,Assistente Administrativo,Administrativo,"alto da xv,  Curitiba / PR","alto da xv,  Curitiba",PR,"R$ 1.700,00 a R$ 2.000,00",Confidencial O que é isso?,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-curitiba-pr/assistente-administrativo/3335344
63,Vaga de Motoboy em Jacareí/SP,Motoboy,Outros,Jacareí / SP,Jacareí,SP,a combinar,Go Prime,https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-jacarei-sp/motoboy/3335341
64,Vaga de Analista de Logística em Montes Claros/MG,Analista de Logística,Outros,Montes Claros / MG,Montes Claros,MG,a combinar,Rh,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-vitoria-da-conquista-ba/coordenador-de-logistica/3335623
65,Vaga de Motorista em Jaboatão dos Guararapes/PE,Motorista,Logística,Jaboatão dos Guararapes / PE,Jaboatão dos Guararapes,PE,a combinar,Rf de Araújo Transportadora,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-montes-claros-mg/analista-de-logistica/3335569
66,Vaga de Motorista em Pinhais/PR,Motorista,Logística,Pinhais / PR,Pinhais,PR,a combinar,Cooperpan,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-jaboatao-dos-guararapes-pe/motorista/3335548
67,Vaga de Auxiliar de Logística em Almirante Tamandaré/PR,Auxiliar de Logística,Logística,"Colônia Prado,  Almirante Tamandaré / PR","Colônia Prado,  Almirante Tamandaré",PR,"R$ 1.500,00 a R$ 1.672,00",Taco-ar Sistemas Automotivos - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-pinhais-pr/motorista/3335542
68,3 Vagas de Motorista em Guaramirim/SC,Motorista,Logística,Guaramirim / SC,Guaramirim,SC,a combinar,Employer Jaraguá do Sul - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-almirante-tamandare-pr/auxiliar-de-logistica/3335518
69,Vaga de Motorista em Guaramirim/SC,Motorista,Logística,Guaramirim / SC,Guaramirim,SC,a combinar,Employer,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-guaramirim-sc/motorista/3335494
70,Vaga de Operador de Pá Carregadeira em Telêmaco Borba/PR,Operador de Pá Carregadeira,Outros,Telêmaco Borba / PR,Telêmaco Borba,PR,a combinar,Packpine,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-guaramirim-sc/motorista/3335493
71,Vaga de Supervisor de Logística em Brusque/SC,Supervisor de Logística,Outros,"Bateas,  Brusque / SC","Bateas,  Brusque",SC,"R$ 3.000,00",RT GROUP. - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-telemaco-borba-pr/operador-de-pa-carregadeira/3335489
72,Vaga de Supervisor de Logística em Brusque/SC,Supervisor de Logística,Outros,"Bateas,  Brusque / SC","Bateas,  Brusque",SC,"R$ 3.000,00",RT GROUP. - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-brusque-sc/supervisor-de-logistica/3335476
73,Vaga de Conferente de Mercadoria em Nova Iguaçu/RJ,Conferente de Mercadoria,Outros,Nova Iguaçu / RJ,Nova Iguaçu,RJ,a combinar,Marear Serviços Técnicos Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-brusque-sc/supervisor-de-logistica/3335476
74,Vaga de Entregador em Goiânia/GO,Entregador,Outros,Goiânia / GO,Goiânia,GO,a combinar,Leonardo Lobo R Skaf,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-nova-iguacu-rj/conferente-de-mercadoria/3335474
75,Vaga de Manobrista em Goiânia/GO,Manobrista,Outros,Goiânia / GO,Goiânia,GO,a combinar,Aton Plaza Hotel,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-goiania-go/entregador/3335379
76,Vaga de Auxiliar de Logística em Curitiba/PR,Auxiliar de Logística,Logística,"Agua Verde,  Curitiba / PR","Agua Verde,  Curitiba",PR,"R$ 1.500,00",INTERATIVA SOLUCOES EM INFORMATICA LTDA - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-goiania-go/manobrista/3335368
